id,text,labels	﻿id,text,labels	tendency
kills	kills	kills
neighbor	neighbor	speaker
in	in	in
HIS	HIS	HIS
own	own	own
apartment?	apartment?	students.
WHAT	WHAT	WHAT
went	went	went
wrong??	wrong??	#Satanists
See:Officer	See:Officer	serial
who	who	who
shot	shot	shot
man	man	man
in	in	in
his	his	his
own	own	own
apartment	apartment	racist
was	was	was
involved	involved	involved
in	in	in
2017	2017	lmao
shooting	shooting	150
of	of	of
a	a	a
suspect.	suspect.	IN
“She	“She	guy.,0
is	is	is
devastated,said	devastated,said	students.
a	a	a
Dallas	Dallas	for.,0
police	police	police
officer,	officer,	focus
adds	adds	profanity,
she	she	she
is	is	is
""so	""so	liberals!
so	so	so
sorry	sorry	sorry
for	for	for
his	his	his
family?""	family?""	students.
URL",0	URL",0	URL",0
----------
15938,Always	15938,Always	57552,@USER
smack	smack	applauding
URL,0	URL,0	URL,0
----------
45712,"#BREAKING:	45712,"#BREAKING:	@USER
After	After	After
a	a	a
week-long	week-long	asinine.
trial,	trial,	applauding
a	a	a
Linn	Linn	whistle.
County	County	group
jury	jury	ABOUT
convicted	convicted	racism
Gregory	Gregory	canon,0
Davis	Davis	bark.,1
of	of	of
First-Degree	First-Degree	Case
Murder	Murder	Its
in	in	in
connection	connection	connection
with	with	with
the	the	the
Carrie	Carrie	piece
Davis	Davis	red
homicide	homicide	homicide
that	that	that
took	took	listen
place	place	place
almost	almost	Nazis
a	a	a
year	year	year
ago.	ago.	ago.
URL	URL	URL
URL",0	URL",0	URL",0
----------
70840,#Kavanaugh	70840,#Kavanaugh	21367,@USER
so	so	so
a	a	a
wild	wild	wild
claim	claim	claim
from	from	from
36	36	Puerto
years	years	years
ago	ago	ago
of	of	of
groping	groping	final
has	has	has
evolved	evolved	VIDEO
into	into	into
A	A	A
Rape	Rape	hated
A	A	A
Violent	Violent	poster
Sexual	Sexual	Sexual
Event	Event	tolerance
by	by	by
Move	Move	bike
URL	URL	URL
a	a	a
Soros	Soros	Soros
based	based	Japan
Org.	Org.	63839,@USER
that	that	that
supports	supports	supports
BLM	BLM	BLM
Antifa	Antifa	Antifa
etc.	etc.	👍,0
Unbeievable!,0	Unbeievable!,0	Dumb
----------
53563,"#kznlt	53563,"#kznlt	95423,@USER
Enjouji	Enjouji	footage.
really	really	really
is	is	is
the	the	the
prototype	prototype	one!
of	of	of
my	my	my
character	character	character
brand,	brand,	impossible
he	he	he
is	is	is
nothing	nothing	nothing
but	but	but
things	things	holy
that	that	that
I	I	I
love	love	love
all	all	all
rolled	rolled	vote.
into	into	into
one	one	one
horrible	horrible	horrible
package	package	towards
and	and	and
fed	fed	fed
directly	directly	career
into	into	into
baby	baby	baby
me's	me's	together....LOSER,1
subconscious.",0	subconscious.",0	Lmfaoo!
----------
59432,#SilsilaBadallteRishtonKa	59432,#SilsilaBadallteRishtonKa	Universal
tag	tag	message
is	is	is
filled	filled	filled
with	with	with
appreciation	appreciation	beautiful!
of	of	of
@USER	@USER	@USER
only....	only....	mastermind
		
		
Never	Never	Never
watched	watched	watched
this	this	this
serial	serial	serial
but	but	but
I	I	I
always	always	companies
wanted	wanted	wanted
appreciation	appreciation	beautiful!
for	for	for
Aditi...	Aditi...	students.
She	She	She
is	is	is
underrated	underrated	red
since	since	since
starting	starting	starting
of	of	of
the	the	the
show...	show...	🎶
She	She	She
is	is	is
worth	worth	worth
of	of	of
all	all	all
this	this	this
appreciation..	appreciation..	smart.,0
👏👏👏,0	👏👏👏,0	guys
----------
21454,#Beto	21454,#Beto	be
#BetoForSenate	#BetoForSenate	Kaycee
#BetoORourke	#BetoORourke	constant
#BetoforTX	#BetoforTX	tortured""
		
Willie	Willie	clinton
Nelson	Nelson	vs
laughs	laughs	govern
at	at	at
conservatives	conservatives	conservatives
who	who	who
are	are	are
upset	upset	listening
with	with	with
him.	him.	him.
URL,0	URL,0	URL,0
----------
83155,#HIAC	83155,#HIAC	up,1
		
Damn	Damn	Holder
Matt	Matt	respect
Hardy	Hardy	found
and	and	and
Randy	Randy	tolerance
Orton	Orton	hurry
put	put	put
on	on	on
one	one	one
hell	hell	hell
in	in	in
a	a	a
cell	cell	Yep.
match!!	match!!	students.
Woooo!!!	Woooo!!!	region
I	I	I
hope	hope	hope
he	he	he
is	is	is
okay!!,0	okay!!,0	shit...
----------
69576,@USER	69576,@USER	Guilty
School	School	School
shootings	shootings	shootings
aren't	aren't	aren't
controversial.	controversial.	suddenly
Wanting	Wanting	Fund”
gun	gun	gun
control	control	control
is.,0	is.,0	is.,0
----------
49139,"@USER	49139,"@USER	News
@USER	@USER	@USER
Put	Put	harassing
DeLauro	DeLauro	chokes
in	in	in
a	a	a
police	police	police
lineup	lineup	showing.
identifying	identifying	Disavow
the	the	the
bag	bag	bag
lady""	lady""	focus
-	-	-
she	she	she
would	would	would
be	be	be
picked	picked	30219,@USER
everytime!	everytime!	i’m
She	She	She
has	has	has
to	to	to
be	be	be
proof	proof	version
either	either	either
Conn	Conn	seriously
voters	voters	mastermind
are	are	are
incompetent	incompetent	incompetent
to	to	to
vote	vote	vote
or	or	or
she	she	she
is	is	is
part	part	part
of	of	of
a	a	a
vast	vast	seeing
voter	voter	disrespect
fraud	fraud	series
conspiracy!	conspiracy!	MASS
No	No	No
one	one	one
votes	votes	fool
for	for	for
a	a	a
woman	woman	woman
that	that	that
gross!""",1	gross!""",1	tolerance
----------
76669,@USER	76669,@USER	incompetent
*coffee	*coffee	suddenly
spit*	spit*	mastermind
Spartacus	Spartacus	disgusting.
moment?	moment?	tolerance
		
He	He	He
never	never	never
saw	saw	saw
the	the	the
film...,0	film...,0	students.
----------
58995,"@	58995,"@	81224,@USER
ALL	ALL	ALL
FAMILY/FRIENDS	FAMILY/FRIENDS	watch
,	,	isn't
do	do	do
not	not	not
tell	tell	tell
me	me	me
		
bad	bad	bad
shit	shit	shit
that	that	that
your	your	your
bf/gf	bf/gf	suddenly
did	did	did
to	to	to
you	you	you
just	just	just
to	to	to
go	go	go
right	right	right
back	back	back
to	to	to
them!!!",1	them!!!",1	fixing
----------
88490,#ChristineBlaseyFord	88490,#ChristineBlaseyFord	World
is	is	is
your	your	your
#Kavanaugh	#Kavanaugh	#Kavanaugh
accuser...	accuser...	Congress.
#Liberals	#Liberals	#Liberals
try	try	try
this	this	this
EVERY	EVERY	EVERY
time...	time...	America
#ConfirmJudgeKavanaugh	#ConfirmJudgeKavanaugh	#MAGA
URL,1	URL,1	URL,1
----------
77101,"@USER	77101,"@USER	Black
'Fellow	'Fellow	fun!!!!,1
Democrats	Democrats	Democrats
don't	don't	don't
want	want	want
@USER	@USER	@USER
🦅🇺🇸	🦅🇺🇸	focus
@USER	@USER	@USER
to	to	to
do	do	do
well..	well..	is!!!
it's	it's	it's
not	not	not
about	about	about
what's	what's	what's
best	best	best
for	for	for
America.	America.	America.
It's	It's	It's
purely	purely	Really?""",0
politics'	politics'	fun!!!!,1
-	-	-
Dov	Dov	LITERALLY
Hikind,	Hikind,	whistle.
Democratic	Democratic	Democratic
NY	NY	NY
Assemblyman	Assemblyman	is!!!
URL",0	URL",0	URL",0
----------
86917,"#osho	86917,"#osho	here
#quotes	#quotes	THIS
via	via	via
@USER	@USER	@USER
Listen	Listen	Listen
to	to	to
your	your	your
being.	being.	so?
It	It	It
is	is	is
continuously	continuously	tell
giving	giving	white
you	you	you
hints.	hints.	funniest
It	It	It
is	is	is
a	a	a
still,	still,	here
small	small	small
voice.	voice.	Check
It	It	It
does	does	does
not	not	not
shout	shout	dresses
at	at	at
you,	you,	you,
that	that	that
is	is	is
true.	true.	true.
And	And	And
if	if	if
you	you	you
are	are	are
a	a	a
little	little	little
silent	silent	simple
you	you	you
will	will	will
start	start	start
feeling	feeling	feeling
your	your	your
way.	way.	way.
Be	Be	Be
the	the	the
person	person	person
you	you	you
are.	are.	are.
Never	Never	Never
try…	try…	focus
URL	URL	URL
URL",0	URL",0	URL",0
----------
78472,"#YYC	78472,"#YYC	pro
@USER	@USER	@USER
		
looking	looking	looking
hockey	hockey	Creepy
players	players	players
of	of	of
all	all	all
ages/abilities	ages/abilities	focus
for	for	for
our	our	our
Humboldt	Humboldt	students.
Tribute	Tribute	“conservatives”
game	game	game
Sunday	Sunday	guy.,0
9/16.	9/16.	students.
Arrive	Arrive	serial
2pm,	2pm,	Can’t
dress,	dress,	mastermind
participate	participate	lazy
in	in	in
our	our	our
opening	opening	Spy
ceremony.	ceremony.	different?,0
Contact	Contact	tolerance
lindsay.clothier@USER	lindsay.clothier@USER	showing.
if	if	if
you	you	you
are	are	are
interested!	interested!	role
#WePlayForThem	#WePlayForThem	BEING
#HumboldtStrong	#HumboldtStrong	suddenly
#HockeyIsFamily	#HockeyIsFamily	housing
#GoNucks",0	#GoNucks",0	bhakt
----------
17798,#Conservatives	17798,#Conservatives	ABOUT
#Brexit	#Brexit	#Brexit
putting	putting	funny
#Britain	#Britain	libertarians
last.	last.	HAVE
		
Sending	Sending	message
a	a	a
chill	chill	final
down	down	down
the	the	the
spine	spine	cocked
of	of	of
the	the	the
#UK.,0	#UK.,0	HAPPENS
----------
71873,#Gamers	71873,#Gamers	WEEK
go	go	go
follow	follow	follow
@USER	@USER	@USER
on	on	on
#Twitter	#Twitter	tolerance
and	and	and
#twitch	#twitch	crminal,
He	He	He
is	is	is
playing	playing	playing
with	with	with
@USER	@USER	@USER
on	on	on
#BlackOps4	#BlackOps4	tolerance
#Blackout	#Blackout	“conservatives”
Please	Please	Please
help	help	help
and	and	and
support	support	support
them	them	them
both	both	both
on	on	on
Twitter	Twitter	Twitter
and	and	and
twitch.	twitch.	✔️
Remember	Remember	Remember
all	all	all
#SupportForSupport	#SupportForSupport	rape
and	and	and
#SupportAllStreamers	#SupportAllStreamers	mistake
URL,0	URL,0	URL,0
----------
30247,"#QuickTip:	30247,"#QuickTip:	#Q
Find	Find	vs
people	people	people
already	already	already
working	working	working
in	in	in
a	a	a
company,	company,	demonRATs
or	or	or
within	within	plan
the	the	the
industry	industry	checking
that	that	that
you	you	you
are	are	are
interested	interested	-
in.	in.	disgusting.
		
We	We	We
know	know	know
a	a	a
lot	lot	lot
of	of	of
people!	people!	sheep
Send	Send	assaulted
us	us	us
your	your	your
resume	resume	whoopin’,1
to	to	to
info@USER	info@USER	students.
or	or	or
message	message	message
us	us	us
RIGHT	RIGHT	cat
NOW	NOW	Dumb
URL	URL	URL
URL",0	URL",0	URL",0
----------
81150,#LiberalLogic	81150,#LiberalLogic	Really?""",0
If	If	If
#Liberals	#Liberals	#Liberals
get	get	get
their	their	their
way.....	way.....	students.
URL,0	URL,0	URL,0
----------
46444,"#ArianaAsesina?	46444,"#ArianaAsesina?	91501,#ReleaseTheCures
Is	Is	Is
that	that	that
serious?!	serious?!	students.
Holy	Holy	Holy
shit,	shit,	tolerance
please	please	please
your	your	your
fucking	fucking	fucking
assholes,	assholes,	Really?""",0
don't	don't	don't
blame	blame	blame
someone	someone	someone
for	for	for
the	the	the
death	death	death
of	of	of
other	other	other
one.	one.	Muslim
She	She	She
is	is	is
sad	sad	sad
enough	enough	enough
for	for	for
today,	today,	terrible
don't	don't	don't
you	you	you
see?	see?	tolerance
It	It	It
isn't	isn't	isn't
fault	fault	fault
of	of	of
none,	none,	beats
he	he	he
had	had	Tom
an	an	an
overdose	overdose	truth
and	and	and
died.	died.	republicans
End.	End.	71629,@USER
Stop	Stop	Stop
wanting	wanting	town.
someone	someone	someone
to	to	to
blame,	blame,	Aaron
fuckers.",1	fuckers.",1	Pittsburgh
----------
60587,@USER	60587,@USER	seriously
How	How	How
is	is	is
she	she	she
hiding	hiding	🙄,0
her	her	her
ugly	ugly	ugly
personality.	personality.	behavior
She	She	She
is	is	is
the	the	the
worst.,1	worst.,1	UP!,0
----------
70569,......bitch	70569,......bitch	None
what	what	what
URL,1	URL,1	URL,1
----------
59200,"#Georgetown	59200,"#Georgetown	""How
Classmate	Classmate	equals
Says	Says	Says
#Left	#Left	Al
Accuser	Accuser	Accuser
is	is	is
Absolutely	Absolutely	Absolutely
NUTS""	NUTS""	career
		
URL	URL	URL
""Judge	""Judge	different?,0
Kavanaugh""@USER	Kavanaugh""@USER	LITERALLY
@USER	@USER	@USER
@USER	@USER	@USER
#ABC	#ABC	guy.,0
#CBS	#CBS	libtards.,1
#Democrats	#Democrats	#Democrats
#Liberals	#Liberals	#Liberals
#women	#women	release
#MondayMotivation	#MondayMotivation	type
#MondayMorning	#MondayMorning	seat.
#veterans	#veterans	pervert
#law	#law	week,1
#MAGA	#MAGA	#MAGA
#GOP	#GOP	#liberals
#CNN	#CNN	Criminals
#MSNBC	#MSNBC	hurry
#NBC	#NBC	tortured""
#Moms	#Moms	together....LOSER,1
#BlackWomen	#BlackWomen	Can’t
#BET""",0	#BET""",0	sure.,0
----------
30900,@USER	30900,@USER	LITERALLY
@USER	@USER	@USER
@USER	@USER	@USER
Are	Are	Are
you	you	you
referring	referring	referring
to	to	to
how	how	how
they	they	they
lollygag	lollygag	tolerance
with	with	with
gun	gun	gun
control	control	control
as	as	as
their	their	their
kids	kids	kids
get	get	get
slaughtered	slaughtered	Leftist
in	in	in
schools?,0	schools?,0	THERES
----------
44546,@USER	44546,@USER	wins
@USER	@USER	@USER
@USER	@USER	@USER
@USER	@USER	@USER
@USER	@USER	@USER
@USER	@USER	@USER
@USER	@USER	@USER
@USER	@USER	@USER
@USER	@USER	@USER
I’m	I’m	I’m
shocked	shocked	future
to	to	to
learn	learn	learn
human	human	human
traffickers	traffickers	students.
had	had	had
guns.	guns.	correct
		
Some	Some	Some
probably	probably	probably
illegal	illegal	illegal
too.	too.	too.
		
CA	CA	anymore
needs	needs	needs
more	more	more
gun	gun	gun
control.	control.	control.
		
But	But	But
don’t	don’t	don’t
worry	worry	Congressional
about	about	about
the	the	the
actual	actual	actual
crime.	crime.	third
		
The	The	The
pic	pic	final
of	of	of
black	black	black
guns	guns	guy
is	is	is
worse.,1	worse.,1	stupid.
----------
53982,#WELOVESEUNGCHEOL	53982,#WELOVESEUNGCHEOL	30464,@USER
@USER	@USER	@USER
		
		
I	I	I
am	am	am
happy	happy	happy
and	and	and
proud	proud	proud
of	of	of
the	the	the
work	work	work
you	you	you
have	have	have
done	done	done
to	to	to
train	train	credible
seventeen	seventeen	51553,.@USER
along	along	now.,0
with	with	with
the	the	the
other	other	other
members.	members.	equals
I	I	I
see	see	see
you	you	you
and	and	and
you	you	you
are	are	are
wonderful	wonderful	#MeToo
and	and	and
incredible.	incredible.	base.
I	I	I
really	really	really
love	love	love
u	u	u
ㅠㅠ	ㅠㅠ	shit...
💕.	💕.	conservatives?,0
URL,0	URL,0	URL,0
----------
37884,#Chequers	37884,#Chequers	wasting
is	is	is
a	a	a
violation	violation	Order""
of	of	of
democracy	democracy	party
!!	!!	68792,@USER
		
#StandUp4Brexit	#StandUp4Brexit	Too
		
@USER	@USER	@USER
@USER	@USER	@USER
@USER	@USER	@USER
		
The	The	The
will	will	will
of	of	of
the	the	the
people	people	people
must	must	must
be	be	be
respected	respected	specific
URL,0	URL,0	URL,0
----------
15079,"#Sessions	15079,"#Sessions	58482,@USER
Tells	Tells	Ever
#Chicago:	#Chicago:	tolerance
“If	“If	pervert
You	You	You
Want	Want	to:
More	More	More
#Shootings,	#Shootings,	LITERALLY
More	More	More
#Death,	#Death,	clowns
Listen	Listen	Listen
To	To	To
#ACLU,	#ACLU,	tolerance
#Antifa,	#Antifa,	fun!!!!,1
#BlackLivesMatter”	#BlackLivesMatter”	#BigTech,0
URL",0	URL",0	URL",0
----------
51628,#Conservatives	51628,#Conservatives	FUCK,1
@USER	@USER	@USER
-	-	-
You're	You're	You're
		
a	a	a
clown!	clown!	him
		
URL,1	URL,1	URL,1
----------
30899,*voice	30899,*voice	dresses
in	in	in
my	my	my
head	head	head
while	while	while
I	I	I
transfer	transfer	it’ll
money	money	money
to	to	to
my	my	my
credit	credit	Somebody
card*	card*	impossible
“bullshit	“bullshit	showing.
that	that	that
I	I	I
bought	bought	@
and	and	and
have	have	have
to	to	to
pay	pay	pay
for”,1	for”,1	students.
----------
99680,Levi	99680,Levi	48470,@USER
Strauss	Strauss	doctrine
has	has	has
“never	“never	THANK
been	been	been
afraid	afraid	afraid
to	to	to
take	take	take
an	an	an
unpopular	unpopular	garbage
stand	stand	stand
to	to	to
support	support	support
a	a	a
greater	greater	After
good.”	good.”	career
'	'	broadcast
		
What	What	What
about	about	about
when	when	when
they	they	they
shut	shut	shut
down	down	down
all	all	all
manufacturing	manufacturing	painful
in	in	in
America?	America?	google
		
That	That	That
wasn't	wasn't	wasn't
even	even	even
a	a	a
news	news	news
story	story	story
when	when	when
it	it	it
happened.	happened.	mindset
Maybe	Maybe	Maybe
they're	they're	they're
right;	right;	greatest
it	it	it
wasn't	wasn't	wasn't
unpopular.	unpopular.	One
		
URL,0	URL,0	URL,0
----------
38628,"@USER	38628,"@USER	words
$500,000	$500,000	whistle.
for	for	for
her	her	her
wedding.	wedding.	#Pedo's
Clinton's	Clinton's	guys
always	always	always
know	know	know
what's	what's	what's
best.",0	best.",0	Medically
----------
40110,#Kids	40110,#Kids	FUCK,1
Beating	Beating	#metoo
#Paraplegic	#Paraplegic	tortured""
#Trump	#Trump	#Trump
#Boy!	#Boy!	tolerance
		
#Left	#Left	Al
Teach	Teach	reporting.,1
Their	Their	Their
#Children	#Children	students.
Hate	Hate	Build
Violence!	Violence!	told.
		
#schools	#schools	tolerance
#teachers	#teachers	Can’t
#Democrats	#Democrats	#Democrats
#Liberals	#Liberals	#Liberals
#WalkAway	#WalkAway	#WalkAway
#Moms	#Moms	concrete??,1
#Mother	#Mother	POLICE
#NEA	#NEA	butt
#teachthemyoung	#teachthemyoung	tolerance
#Christian	#Christian	❤️,0
#Catholic	#Catholic	shepherd,0
#Jews	#Jews	stupid
#Evangelicals	#Evangelicals	Can’t
#family	#family	students.
#BlackWomen	#BlackWomen	Can’t
#BlackTwitter	#BlackTwitter	👌,0
#Blacks	#Blacks	Thursday!
#News	#News	damn
#Media	#Media	whistle.
#Disabled	#Disabled	Congress.
#MAGA	#MAGA	#MAGA
URL,1	URL,1	URL,1
----------
50310,"0-9	50310,"0-9	they
:	:	:
B-1,	B-1,	mob
J-1,	J-1,	84562,@USER
R-1,	R-1,	tolerance
B-2,	B-2,	students.
Q-2,	Q-2,	commending
B-3,	B-3,	fun!!!!,1
BX-3,	BX-3,	LONG
B-4,	B-4,	old,1
RB-4,	RB-4,	girls!
Z-4,	Z-4,	#Jesus
B-5,	B-5,	students.
Q-5,	Q-5,	canon,0
B-6,	B-6,	vote.
H-6,	H-6,	Russian
B-7,	B-7,	students.
H-7,	H-7,	and
